,fx,dxy,gold,oil,vix,em_fx,reserves,net_reserves,policy_rate,cpi,fx_returns,fx_vol,em_fx_returns,em_fx_vol,vol_suppression_ratio,cpi_yoy,real_rate,reserve_change,reserve_burn_proxy,ma_50,ma_200,dist_ma_200,log_trend,trend_deviation,ath,dist_ath,vol_adj_ret,fx_accel,regime,vol_score,reserve_score,trend_score,intervention_intensity,position,strategy_returns,carry_returns,trades,costs,net_returns,cum_returns,equity_curve
2011-12-09,1.8398000001907349,78.62999725341797,1712.800048828125,99.41000366210938,26.38,97.561,113705230.0,156518.0,1.46632,174.07,0.005778141304896548,0.12275502101658305,0.00012710804611055322,0.061108314762933574,2.0088104457274687,0.0,1.46632,0.0,0.0,1.8211919999122619,1.685210999250412,0.09173272724251416,1.3721982559888002,0.34076835629337165,1.887500047683716,-0.0252715477022198,0.04782942760646917,0.008126136058467757,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100000.0
2011-12-12,1.8320000171661377,79.56999969482422,1664.199951171875,97.7699966430664,25.67,98.2126,113705230.0,156518.0,1.46632,174.07,-0.004248594542490343,0.12240957609642565,0.006656693304063732,0.06487830636468206,1.886756651882362,0.0,1.46632,0.0,0.0,1.8207419991493226,1.6863814991712571,0.08634968900361055,1.3733856839697822,0.33392974642835005,1.887500047683716,-0.02940398893535729,0.06082812660871504,-0.010026735847386892,0.0,,,,0.0,-1.0,0.004248594542490343,0.0017857142857142857,1.0,0.0005,0.005534308828204628,1.0055343088282047,100553.43088282047
2011-12-13,1.8664000034332275,80.25,1659.9000244140625,100.13999938964844,25.41,98.2938,113705230.0,156518.0,1.46632,174.07,0.018603167942474047,0.12729892675392324,0.0008264362343580618,0.06455347635099416,1.9719918112816361,0.0,1.46632,0.0,0.0,1.8203199982643128,1.6877279990911485,0.10586540274161181,1.3745741394882967,0.3578023547918773,1.887500047683716,-0.01117883110857764,0.07896081487602219,0.02285176248496439,2.0,,,,0.0,-1.0,-0.018603167942474047,0.0017857142857142857,0.0,0.0,-0.01681745365675976,0.9886237821892044,98862.37821892045
2011-12-14,1.8802000284194944,80.52999877929688,1584.300048828125,94.9499969482422,26.04,98.8069,113705230.0,156518.0,1.46632,174.07,0.007366725712882691,0.12798674632757653,0.005206487435828343,0.0660283415229634,1.9383607610841653,0.0,1.46632,0.0,0.0,1.8202379989624022,1.6891874992847442,0.11307953037518392,1.3757636234335204,0.36665921121467226,1.887500047683716,-0.00386755977737855,0.08611100624487468,-0.011236442229591356,0.0,,,,0.0,1.0,0.007366725712882691,-0.0017857142857142857,2.0,0.001,0.004581011427168406,0.9931526790325838,99315.26790325837
2011-12-15,1.883900046348572,80.23999786376953,1574.5999755859375,93.87000274658205,25.11,98.5495,113705230.0,156518.0,1.46632,174.07,0.001965951514192432,0.1249595630903761,-0.00260848035279762,0.06709644189523357,1.8623873272667986,0.0,1.46632,0.0,0.0,1.820550000667572,1.6907104992866515,0.11426530274901082,1.3769541366953997,0.36816470218086533,1.887500047683716,-0.0019072854273894497,0.08777418518988628,-0.005400774198690259,2.0,,,,0.0,-1.0,-0.001965951514192432,0.0017857142857142857,2.0,0.001,-0.0011802372284781466,0.9919805232672266,99198.05232672267
2011-12-16,1.8765000104904177,80.25,1595.5999755859375,93.52999877929688,24.29,98.389,113705230.0,156518.0,1.46632,174.07,-0.003935775608294539,0.1262339106397601,-0.0016299508276329314,0.06755440656043402,1.8686258538416964,0.0,1.46632,0.0,0.0,1.8212480020523072,1.6921854990720748,0.10892098503350454,1.3781456801646508,0.36161222829957074,1.887500047683716,-0.00582783412736718,0.05666382216307814,-0.005901727122486971,0.0,,,,0.0,1.0,-0.003935775608294539,-0.0017857142857142857,2.0,0.001,-0.006721489894008824,0.9853129362050325,98531.29362050325
2011-12-19,1.883999943733215,80.25,1594.4000244140625,93.87999725341795,24.92,98.4809,113705230.0,156518.0,1.46632,174.07,0.00398880110521826,0.12360308342817708,0.0009336115543842733,0.0670321014866675,1.843938660535078,0.0,1.46632,0.0,0.0,1.8219620013237,1.6936929988861085,0.11236212523300614,1.3793382547327606,0.365872321215531,1.887500047683716,-0.001854359662028171,0.0891286182528431,0.007924576713512798,2.0,,,,0.0,-1.0,-0.00398880110521826,0.0017857142857142857,2.0,0.001,-0.003203086819503974,0.9821568933259873,98215.68933259873
2011-12-20,1.9003000259399416,79.87999725341797,1615.5999755859375,97.22000122070312,23.22,98.1698,113705230.0,156518.0,1.46632,174.07,0.008614635807046632,0.12596292278490967,-0.003163988325803388,0.06119891100521368,2.0582543172080072,0.0,1.46632,0.0,0.0,1.8234520030021668,1.6953574991226197,0.12088454908382666,1.380531861291988,0.3764984925168784,1.9003000259399416,0.0,0.06943045286275765,0.004625834701828372,0.0,,,,0.0,1.0,0.008614635807046632,-0.0017857142857142857,2.0,0.001,0.005828921521332346,0.98788180877882,98788.180877882
2011-12-21,1.8828999996185305,80.0199966430664,1611.9000244140625,98.66999816894533,21.43,98.1841,113705230.0,156518.0,1.46632,174.07,-0.009198640777971369,0.11825157802436025,0.0001456553704845844,0.06120338808311738,1.9321083640625984,0.0,1.46632,0.0,0.0,1.824358003139496,1.69688649892807,0.10962047302984959,1.3817265007353636,0.3627154133733696,1.9003000259399416,-0.00915646270793718,0.039641635113524774,-0.017813276585018002,0.0,,,,0.0,-1.0,0.009198640777971369,0.0017857142857142857,2.0,0.001,0.009984355063685654,0.9977451715186237,99774.51715186237
2011-12-22,1.8834999799728391,79.91999816894531,1608.9000244140625,99.52999877929688,21.16,98.1271,113705230.0,156518.0,1.46632,174.07,0.00031859619935996,0.11694380240026139,-0.0005807106431199375,0.05724617879346575,2.0428228549921954,0.0,1.46632,0.0,0.0,1.8256920027732848,1.6983299988508225,0.10903062493585593,1.3829221739566906,0.3619710605868305,1.9003000259399416,-0.008840733430392246,0.047789284807177444,0.009517236977331329,2.0,,,,0.0,-1.0,-0.00031859619935996,0.0017857142857142857,0.0,0.0,0.0014671180863543257,0.9992089815053314,99920.89815053315
